0.jpg	it is that time of the year we are back
2070.jpg	with a brand new series it's the FIFA 19
4110.jpg	goals of the week where you were the
6299.jpg	stars are every single episode you
8460.jpg	sending your best goals they can add it
10320.jpg	into the video and the ones with the
12000.jpg	most votes moves on to the next round
13950.jpg	and wills themselves some teach online
15960.jpg	merchandise now on screen we're kicking
20960.jpg	merchandise now on screen we're kicking
18270.jpg	off with the FIFA 18 goal of the year as
23270.jpg	off with the FIFA 18 goal of the year as
21600.jpg	voted for by you it's Kevin crane 98
24570.jpg	congratulations to them now difficut
26519.jpg	once you've seen all the goals in this
27599.jpg	episode vote down below in the comments
29279.jpg	by writing the letter of your favorite +
30510.jpg	leave link to your best goals or you can
32520.jpg	send them to me on Facebook and Twitter
34380.jpg	and you can be a part of the next
35850.jpg	episode your first choice in this first
38430.jpg	ever FIFA 19 episode is this its goalie
43430.jpg	ever FIFA 19 episode is this its goalie
40770.jpg	from Stella pure for 9 7 2 3 and Saha
45770.jpg	from Stella pure for 9 7 2 3 and Saha
44489.jpg	take a bow
55010.jpg	goby this is from time Alton 7 and it's
60010.jpg	goby this is from time Alton 7 and it's
59789.jpg	Raheem Rose The Dream's on let's taking
64789.jpg	Raheem Rose The Dream's on let's taking
63210.jpg	the touch there the defender it will be
68210.jpg	the touch there the defender it will be
65430.jpg	a corner corner taken by Eden Hazard
70430.jpg	a corner corner taken by Eden Hazard
70650.jpg	[Applause]
75650.jpg	[Applause]
73030.jpg	so quick and often elusive sterling
78030.jpg	so quick and often elusive sterling
76770.jpg	space for the shop
83360.jpg	so they loosen
89890.jpg	silky work from Raheem Sterling now and
92270.jpg	that is quickly followed by your go see
94400.jpg	the whitey man like wolf this timing
97610.jpg	it's a so currents of go with the
99320.jpg	sublime skills
104030.jpg	stop
113470.jpg	in a Goldie we're looking for goal
118470.jpg	in a Goldie we're looking for goal
116170.jpg	number five fish for the 69 errs it's
121170.jpg	number five fish for the 69 errs it's
119170.jpg	mad number 2000 isn't mrs. son with the
124170.jpg	mad number 2000 isn't mrs. son with the
122170.jpg	temperature and the finish
127170.jpg	temperature and the finish
125770.jpg	[Applause]
132910.jpg	doli did someone order the spinners well
137910.jpg	doli did someone order the spinners well
136970.jpg	this is Matt hedge Kundera sibling and
141970.jpg	this is Matt hedge Kundera sibling and
146970.jpg	this is Matt hedge Kundera sibling and
151970.jpg	this is Matt hedge Kundera sibling and
140240.jpg	yes it's postage stamps in the next one
145240.jpg	yes it's postage stamps in the next one
150240.jpg	yes it's postage stamps in the next one
155240.jpg	yes it's postage stamps in the next one
156230.jpg	that has been sent in his goal F from
161230.jpg	that has been sent in his goal F from
158270.jpg	Hotel 1004 and you should refer looking
163270.jpg	Hotel 1004 and you should refer looking
162140.jpg	to break the deadlock
167630.jpg	a lot of defenders between here's a shot
175580.jpg	the perfect touch past the defender of
180580.jpg	the perfect touch past the defender of
178370.jpg	what a finish Nicole Jean is is that
181370.jpg	legend rhythms they are looking to
183140.jpg	become a legend if true ranks with
185900.jpg	finishes like this
190200.jpg	[Applause]
195200.jpg	[Applause]
193200.jpg	now we all know the cover star of FIFA
196060.jpg	is always a god when it comes to stats
198040.jpg	surely you should know by now if it's
200440.jpg	Ronaldo you need to speak titanum some
203110.jpg	all the time otherwise it's gonna punish
205980.jpg	like that straining and it probably
210980.jpg	like that straining and it probably
208180.jpg	worked one time in a hundred but is two
213180.jpg	worked one time in a hundred but is two
212980.jpg	more to go the first of them is go like
217980.jpg	more to go the first of them is go like
214810.jpg	it's kasama 77 and it's marvel of the
219810.jpg	it's kasama 77 and it's marvel of the
218799.jpg	work for martin's
221030.jpg	you've got a bit to do but this is
222350.jpg	promising
225170.jpg	look from the other player and saw where
226760.jpg	the pass was going and read it
231760.jpg	the pass was going and read it
228490.jpg	[Applause]
235730.jpg	Joseph Montez
237690.jpg	[Applause]
238730.jpg	[Music]
253000.jpg	and last but by no means least in this
255280.jpg	first episode it's gold chain it's in
257440.jpg	Lucas breweries and it's shibasaki
259500.jpg	turning field
267310.jpg	[Applause]
278930.jpg	[Music]
284680.jpg	so now the choice is over to you to vote
287300.jpg	for your favorite by writing the letter
288560.jpg	of the one you neva for down in the
290210.jpg	comments though we vote at the next
291380.jpg	round plus win themselves some teach
292700.jpg	from our merchandise sending your best
294500.jpg	goals by leaving them lived in the
295550.jpg	comments we to send them to me on my
296990.jpg	Facebook or Twitter you can see all my
298940.jpg	social media on the screen I do as many
300350.jpg	give always as I can on those channels
301670.jpg	so be great you can check them out and
303200.jpg	if you want to subscribe to daily top
304670.jpg	tens loads of your favorite games loads
306980.jpg	of exclusive game play and also live
309200.jpg	streams incoming just click on the logo
310670.jpg	in the middle the screen turn the
312110.jpg	notifications me one of the first in the
313520.jpg	world to see every single brand new
314900.jpg	video my name is Tommy teacher behind
316520.jpg	thanks for support believing your dreams
317900.jpg	and Oz beat you again in the next one0.jpg	it is that time of the year we are back
2070.jpg	with a brand new series it's the FIFA 19
4110.jpg	goals of the week where you were the
6299.jpg	stars are every single episode you
8460.jpg	sending your best goals they can add it
10320.jpg	into the video and the ones with the
12000.jpg	most votes moves on to the next round
13950.jpg	and wills themselves some teach online
15960.jpg	merchandise now on screen we're kicking
20960.jpg	merchandise now on screen we're kicking
18270.jpg	off with the FIFA 18 goal of the year as
23270.jpg	off with the FIFA 18 goal of the year as
21600.jpg	voted for by you it's Kevin crane 98
24570.jpg	congratulations to them now difficut
26519.jpg	once you've seen all the goals in this
27599.jpg	episode vote down below in the comments
29279.jpg	by writing the letter of your favorite +
30510.jpg	leave link to your best goals or you can
32520.jpg	send them to me on Facebook and Twitter
34380.jpg	and you can be a part of the next
35850.jpg	episode your first choice in this first
38430.jpg	ever FIFA 19 episode is this its goalie
43430.jpg	ever FIFA 19 episode is this its goalie
40770.jpg	from Stella pure for 9 7 2 3 and Saha
45770.jpg	from Stella pure for 9 7 2 3 and Saha
44489.jpg	take a bow
